	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積
0	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	8階	9.8万円	12000円	-/-/9.8万円/-	1K	25.03m
1	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	8階	10.7万円	12000円	-/-/21.4万円/21.4万円	1K	25.03m
2	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	8階	10.7万円	12000円	-/-/21.4万円/21.4万円	1K	25.01m
3	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	9階	10.9万円	12000円	-/-/21.8万円/-	1K	25.04m
4	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	8階	11.7万円	8000円	-/-/-/-	1K	25.01m
5	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	8階	11.7万円	12000円	-/-/-/-	1K	25.04m
6	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	9階	11.9万円	12000円	-/-/-/-	1K	25.04m
7	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	13階	12.9万円	12000円	-/-/25.8万円/25.8万円	1LDK	30.19m
8	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	13階	12.9万円	12000円	-/-/25.8万円/-	1K	30.19m
9	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	13階	13.9万円	12000円	-/-/-/-	1LDK	30.19m
10	パティオ神田	東京都千代田区岩本町２	ＪＲ山手線/神田駅 歩6分	ＪＲ総武線/秋葉原駅 歩9分	東京メトロ銀座線/三越前駅 歩10分	築6年	地下3地上41階建	5階	17.5万円	12000円	-/-/35万円/-	1LDK	45.81m
11	ＪＲ山手線 秋葉原駅 12階建 築12年	東京都千代田区岩本町３	ＪＲ山手線/秋葉原駅 歩5分	ＪＲ総武線快速/馬喰町駅 歩7分	都営新宿線/岩本町駅 歩3分	築6年	地下3地上41階建	8階	9.9万円	-	9.9万円/9.9万円/-/-	ワンルーム	31.01m
12	ＪＲ山手線 秋葉原駅 12階建 築12年	東京都千代田区岩本町３	ＪＲ山手線/秋葉原駅 歩5分	ＪＲ総武線快速/馬喰町駅 歩7分	都営新宿線/岩本町駅 歩3分	築6年	地下3地上41階建	8階	9.9万円	-	9.9万円/9.9万円/-/-	ワンルーム	31.01m
13	ワテラスタワーレジデンス	東京都千代田区神田淡路町２	ＪＲ中央線/御茶ノ水駅 歩4分	東京メトロ千代田線/新御茶ノ水駅 歩3分	都営新宿線/小川町駅 歩4分	築6年	地下3地上41階建	30階	27万円	-	54万円/27万円/-/-	1LDK	51.04m
14	ワテラスタワーレジデンス	東京都千代田区神田淡路町２	ＪＲ中央線/御茶ノ水駅 歩4分	東京メトロ千代田線/新御茶ノ水駅 歩3分	都営新宿線/小川町駅 歩4分	築6年	地下3地上41階建	30階	48万円	-	96万円/48万円/-/-	2LDK	81.71m
15	ワテラスタワーレジデンス	東京都千代田区神田淡路町２	ＪＲ中央線/御茶ノ水駅 歩4分	東京メトロ千代田線/新御茶ノ水駅 歩3分	都営新宿線/小川町駅 歩4分	築6年	地下3地上41階建	22階	65万円	-	65万円/65万円/-/-	4K	104.18m
16	ワテラスタワーレジデンス	東京都千代田区神田淡路町２	ＪＲ中央線/御茶ノ水駅 歩4分	東京メトロ千代田線/新御茶ノ水駅 歩3分	都営新宿線/小川町駅 歩4分	築6年	地下3地上41階建	22階	65万円	-	65万円/65万円/-/-	4K	104.18m
17	ザ・パークハウス千代田麹町	東京都千代田区麹町６	東京メトロ丸ノ内線/四ツ谷駅 歩3分	東京メトロ有楽町線/麹町駅 歩6分	東京メトロ有楽町線/市ヶ谷駅 歩15分	築6年	地下3地上41階建	11階	39.8万円	-	79.6万円/39.8万円/-/-	2LDK	75.57m
18	ザ・パークハウス千代田麹町	東京都千代田区麹町６	東京メトロ丸ノ内線/四ツ谷駅 歩3分	東京メトロ有楽町線/麹町駅 歩6分	東京メトロ有楽町線/市ヶ谷駅 歩15分	築6年	地下3地上41階建	9階	42万円	-	84万円/42万円/-/-	3LDK	80.12m
19	プルデンシャルタワーレジデンス	東京都千代田区永田町２	東京メトロ銀座線/赤坂見附駅 歩1分	東京メトロ半蔵門線/永田町駅 歩5分	東京メトロ千代田線/赤坂駅 歩7分	築6年	地下3地上41階建	26階	85万円	-	340万円/-/-/-	2LDK	140.17m
20	プルデンシャルタワーレジデンス	東京都千代田区永田町２	東京メトロ銀座線/赤坂見附駅 歩1分	東京メトロ半蔵門線/永田町駅 歩5分	東京メトロ千代田線/赤坂駅 歩7分	築6年	地下3地上41階建	34階	100万円	-	400万円/-/-/-	3LDK	164.22m
21	日興パレス三番町	東京都千代田区三番町	東京メトロ半蔵門線/半蔵門駅 歩8分	東京メトロ東西線/九段下駅 歩11分	ＪＲ中央線/市ヶ谷駅 歩11分	築6年	地下3地上41階建	4階	6.9万円	-	6.9万円/-/-/-	ワンルーム	16.33m
22	パークコート千代田富士見ザタワー	東京都千代田区富士見２	ＪＲ中央線/飯田橋駅 歩3分			築6年	地下3地上41階建	12階	28.5万円	-	57万円/57万円/-/-	1LDK	45.97m
23	パークコート千代田富士見ザタワー	東京都千代田区富士見２	ＪＲ中央線/飯田橋駅 歩3分			築6年	地下3地上41階建	4階	35万円	10000円	70万円/35万円/-/-	2LDK	55.97m
24	パークコート千代田富士見ザタワー	東京都千代田区富士見２	ＪＲ中央線/飯田橋駅 歩3分			築6年	地下3地上41階建	22階	38万円	-	76万円/38万円/-/-	1SLDK	64.47m
25	パークコート千代田富士見ザタワー	東京都千代田区富士見２	ＪＲ中央線/飯田橋駅 歩3分			築6年	地下3地上41階建	30階	43万円	-	86万円/43万円/-/-	2SLDK	78.82m
26	パークコート千代田富士見ザタワー	東京都千代田区富士見２	ＪＲ中央線/飯田橋駅 歩3分			築6年	地下3地上41階建	37階	75万円	-	150万円/150万円/-/-	3LDK	88.21m
27	チェスターハウス九段下	東京都千代田区飯田橋２	東京メトロ東西線/飯田橋駅 歩4分	都営新宿線/九段下駅 歩6分	東京メトロ有楽町線/飯田橋駅 歩4分	築6年	地下3地上41階建	7階	22.4万円	8000円	22.4万円/22.4万円/-/-	2LDK	54.54m
28	チェスターハウス九段下	東京都千代田区飯田橋２	東京メトロ東西線/飯田橋駅 歩4分	都営新宿線/九段下駅 歩6分	東京メトロ有楽町線/飯田橋駅 歩4分	築6年	地下3地上41階建	6階	22.4万円	8000円	22.4万円/22.4万円/-/-	2LDK	54.54m
29	ザ・パークハウスグラン千鳥ヶ淵	東京都千代田区三番町	東京メトロ半蔵門線/半蔵門駅 歩7分	東京メトロ東西線/九段下駅 歩12分	東京メトロ有楽町線/麹町駅 歩12分	築6年	地下3地上41階建	2階	48万円	-	96万円/48万円/-/-	2LDK	72.26m
30	ザ・パークハウスグラン千鳥ヶ淵	東京都千代田区三番町	東京メトロ半蔵門線/半蔵門駅 歩7分	東京メトロ東西線/九段下駅 歩12分	東京メトロ有楽町線/麹町駅 歩12分	築6年	地下3地上41階建	3階	61万円	-	61万円/61万円/-/-	3LDK	100.13m
31	ザ・パークハウスグラン千鳥ヶ淵	東京都千代田区三番町	東京メトロ半蔵門線/半蔵門駅 歩7分	東京メトロ東西線/九段下駅 歩12分	東京メトロ有楽町線/麹町駅 歩12分	築6年	地下3地上41階建	2階	70万円	-	70万円/70万円/-/-	3LDK	113.01m
32	ザ・パークハウスグラン千鳥ヶ淵	東京都千代田区三番町	東京メトロ半蔵門線/半蔵門駅 歩7分	東京メトロ東西線/九段下駅 歩12分	東京メトロ有楽町線/麹町駅 歩12分	築6年	地下3地上41階建	3階	70万円	-	140万円/-/-/-	3LDK	100.13m
33	ザ・パークハウスグラン千鳥ヶ淵	東京都千代田区三番町	東京メトロ半蔵門線/半蔵門駅 歩7分	東京メトロ東西線/九段下駅 歩12分	東京メトロ有楽町線/麹町駅 歩12分	築6年	地下3地上41階建	2階	73万円	-	73万円/73万円/-/-	3LDK	120.65m
34	ザ・パークハウスグラン千鳥ヶ淵	東京都千代田区三番町	東京メトロ半蔵門線/半蔵門駅 歩7分	東京メトロ東西線/九段下駅 歩12分	東京メトロ有楽町線/麹町駅 歩12分	築6年	地下3地上41階建	5階	95万円	-	190万円/95万円/-/-	2LDK	113.01m
35	レジディア御茶ノ水II	東京都千代田区外神田２	東京メトロ銀座線/末広町駅 歩5分	東京メトロ丸ノ内線/御茶ノ水駅 歩6分	東京メトロ千代田線/湯島駅 歩7分	築6年	地下3地上41階建	10階	11.7万円	10000円	11.7万円/11.7万円/-/-	1K	25.14m
36	レジディア御茶ノ水II	東京都千代田区外神田２	東京メトロ銀座線/末広町駅 歩5分	東京メトロ丸ノ内線/御茶ノ水駅 歩6分	東京メトロ千代田線/湯島駅 歩7分	築6年	地下3地上41階建	10階	13.3万円	10000円	13.3万円/13.3万円/-/-	1DK	30.27m
37	レジディア御茶ノ水II	東京都千代田区外神田２	東京メトロ銀座線/末広町駅 歩5分	東京メトロ丸ノ内線/御茶ノ水駅 歩6分	東京メトロ千代田線/湯島駅 歩7分	築6年	地下3地上41階建	9階	21.3万円	10000円	42.6万円/21.3万円/-/-	2LDK	50.6m
38	番町パークハウス	東京都千代田区四番町	ＪＲ中央線/市ヶ谷駅 歩3分	東京メトロ半蔵門線/半蔵門駅 歩8分	ＪＲ中央線/四ツ谷駅 歩11分	築6年	地下3地上41階建	5階	42万円	-	84万円/42万円/-/-	1LDK	89.52m
39	番町パークハウス	東京都千代田区四番町	ＪＲ中央線/市ヶ谷駅 歩3分	東京メトロ半蔵門線/半蔵門駅 歩8分	ＪＲ中央線/四ツ谷駅 歩11分	築6年	地下3地上41階建	11階	45万円	-	45万円/45万円/-/-	2LDK	85.61m
40	番町パークハウス	東京都千代田区四番町	ＪＲ中央線/市ヶ谷駅 歩3分	東京メトロ半蔵門線/半蔵門駅 歩8分	ＪＲ中央線/四ツ谷駅 歩11分	築6年	地下3地上41階建	11階	45万円	-	45万円/45万円/-/-	2LDK	85.61m
41	番町パークハウス	東京都千代田区四番町	ＪＲ中央線/市ヶ谷駅 歩3分	東京メトロ半蔵門線/半蔵門駅 歩8分	ＪＲ中央線/四ツ谷駅 歩11分	築6年	地下3地上41階建	11階	48万円	-	48万円/48万円/-/-	2LDK	85.61m
42	番町パークハウス	東京都千代田区四番町	ＪＲ中央線/市ヶ谷駅 歩3分	東京メトロ半蔵門線/半蔵門駅 歩8分	ＪＲ中央線/四ツ谷駅 歩11分	築6年	地下3地上41階建	11階	48万円	-	48万円/48万円/-/-	2LDK	85.61m
43	番町パークハウス	東京都千代田区四番町	ＪＲ中央線/市ヶ谷駅 歩3分	東京メトロ半蔵門線/半蔵門駅 歩8分	ＪＲ中央線/四ツ谷駅 歩11分	築6年	地下3地上41階建	11階	48万円	-	48万円/48万円/-/-	2LDK	85.61m
44	ハーモニーレジデンス千代田岩本町	東京都千代田区岩本町１	東京メトロ日比谷線/小伝馬町駅 歩3分	ＪＲ山手線/神田駅 歩8分	都営新宿線/岩本町駅 歩8分	築6年	地下3地上41階建	12階	20.5万円	15000円	10.25万円/20.5万円/-/-	2LDK	54.66m
45	ハーモニーレジデンス千代田岩本町	東京都千代田区岩本町１	東京メトロ日比谷線/小伝馬町駅 歩3分	ＪＲ山手線/神田駅 歩8分	都営新宿線/岩本町駅 歩8分	築6年	地下3地上41階建	12階	20.5万円	15000円	10.25万円/20.5万円/-/-	2LDK	54.66m
46	ミュラーハウス	東京都千代田区一番町	東京メトロ半蔵門線/半蔵門駅 歩3分	都営新宿線/市ヶ谷駅 歩10分	東京メトロ有楽町線/麹町駅 歩7分	築6年	地下3地上41階建	7階	26万円	25000円	52万円/-/-/-	2LDK	72.3m
47	東京メトロ半蔵門線 半蔵門駅 7階建 築19年	東京都千代田区一番町	東京メトロ半蔵門線/半蔵門駅 歩3分	東京メトロ有楽町線/麹町駅 歩8分	東京メトロ有楽町線/市ヶ谷駅 歩11分	築6年	地下3地上41階建	7階	26万円	25000円	52万円/-/-/-	2LDK	72.3m
48	東京メトロ南北線 市ヶ谷駅 9階建 築17年	東京都千代田区三番町	東京メトロ南北線/市ヶ谷駅 歩6分	東京メトロ半蔵門線/半蔵門駅 歩8分	東京メトロ有楽町線/麹町駅 歩11分	築6年	地下3地上41階建	5階	15.5万円	3000円	-/15.5万円/-/-	1DK	34.17m
49	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	7階	27.9万円	-	27.9万円/27.9万円/-/-	2LDK	61.33m
50	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	9階	27.9万円	-	27.9万円/27.9万円/-/-	2LDK	61.33m
51	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	7階	27.9万円	-	27.9万円/27.9万円/-/-	2LDK	61.33m
52	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	8階	28万円	-	28万円/28万円/-/-	2LDK	61.33m
53	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	9階	28万円	-	28万円/28万円/-/-	2LDK	61.04m
54	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	9階	28.1万円	-	28.1万円/28.1万円/-/-	2LDK	61.33m
55	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	10階	28.2万円	-	28.2万円/28.2万円/-/-	2LDK	61.33m
56	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	10階	28.2万円	-	28.2万円/28.2万円/-/-	2LDK	61.04m
57	ロイジェント九段	東京都千代田区九段北１	ＪＲ中央線/飯田橋駅 歩7分	東京メトロ東西線/九段下駅 歩4分	ＪＲ中央線/水道橋駅 歩11分	築6年	地下3地上41階建	11階	28.3万円	-	28.3万円/28.3万円/-/-	2LDK	61.33m
58	テルセーロ三鈴	東京都千代田区岩本町１	ＪＲ総武線快速/馬喰町駅 歩5分	東京メトロ日比谷線/小伝馬町駅 歩5分	都営新宿線/馬喰横山駅 歩5分	築6年	地下3地上41階建	4階	21.48万円	12000円	21.48万円/21.48万円/-/-	2LDK	64.99m
59	テルセーロ三鈴	東京都千代田区岩本町１	ＪＲ総武線快速/馬喰町駅 歩5分	東京メトロ日比谷線/小伝馬町駅 歩5分	都営新宿線/馬喰横山駅 歩5分	築6年	地下3地上41階建	4階	21.84万円	12000円	21.84万円/21.84万円/-/-	2LDK	64.99m
60	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	3階	10.7万円	8000円	10.7万円/10.7万円/-/-	1K	23.2m
61	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	4階	12.9万円	10000円	12.9万円/12.9万円/-/-	1K	30.7m
62	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	4階	12.9万円	10000円	12.9万円/12.9万円/-/-	1DK	30.7m
63	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	6階	13万円	10000円	13万円/13万円/-/-	1DK	32.07m
64	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	6階	13万円	10000円	13万円/13万円/-/-	1DK	32.07m
65	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	3階	13.5万円	10000円	13.5万円/13.5万円/-/-	1DK	32.07m
66	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	3階	13.5万円	10000円	13.5万円/13.5万円/-/-	1DK	32.07m
67	パークキューブ神田	東京都千代田区神田須田町２	都営新宿線/岩本町駅 歩3分	東京メトロ銀座線/神田駅 歩4分	ＪＲ山手線/秋葉原駅 歩5分	築6年	地下3地上41階建	12階	21.8万円	12000円	21.8万円/21.8万円/-/-	2LDK	62.78m
68	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	3階	12.2万円	10000円	12.2万円/12.2万円/-/-	1K	27.14m
69	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	8階	12.8万円	10000円	25.6万円/12.8万円/-/-	1K	27.09m
70	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	10階	12.9万円	10000円	25.8万円/12.9万円/-/-	1K	27.09m
71	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	13階	13.2万円	10000円	13.2万円/13.2万円/-/-	1K	28.75m
72	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	12階	19.4万円	10000円	19.4万円/19.4万円/-/-	1LDK	44.86m
73	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	3階	25.5万円	10000円	51万円/25.5万円/-/-	1SLDK	60.62m
74	チェスターコート御茶ノ水	東京都千代田区神田小川町３	都営新宿線/小川町駅 歩3分	東京メトロ千代田線/新御茶ノ水駅 歩5分	東京メトロ半蔵門線/神保町駅 歩6分	築6年	地下3地上41階建	3階	26万円	10000円	26万円/26万円/-/-	1SLDK	60.62m
75	レジディア水道橋	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	都営三田線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩8分	築6年	地下3地上41階建	10階	14.2万円	10000円	28.4万円/14.2万円/-/-	1K	34.39m
76	レジディア水道橋	東京都千代田区神田三崎町３	ＪＲ中央線/水道橋駅 歩4分	都営三田線/水道橋駅 歩4分	東京メトロ東西線/九段下駅 歩8分	築6年	地下3地上41階建	6階	16.4万円	10000円	16.4万円/16.4万円/-/-	1LDK	42.2m
