	マンション名	住所	立地1	立地2	立地3	築年数	建物高さ	階	賃料	管理費	敷/礼/保証/敷引,償却	間取り	専有面積
157	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			12階	15.6万円	-	15.6万円/15.6万円/-/-	1K	27.26m
158	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			12階	15.6万円	-	15.6万円/15.6万円/-/-	1K	27.26m
159	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			12階	15.6万円	-	15.6万円/15.6万円/-/-	1K	27.22m
160	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			12階	15.6万円	-	15.6万円/15.6万円/-/-	1K	27.22m
161	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			10階	15.7万円	-	15.7万円/15.7万円/-/-	ワンルーム	32.3m
162	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			11階	15.9万円	-	15.9万円/15.9万円/-/-	ワンルーム	31.9m
163	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			3階	21.1万円	-	21.1万円/21.1万円/-/-	1LDK	45.97m
164	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			4階	21.3万円	-	21.3万円/21.3万円/-/-	1LDK	45.97m
165	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			5階	21.5万円	-	21.5万円/21.5万円/-/-	1LDK	45.97m
166	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			3階	21.7万円	-	21.7万円/21.7万円/-/-	1LDK	51.39m
167	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			6階	21.7万円	-	21.7万円/21.7万円/-/-	1LDK	45.97m
168	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			2階	21.9万円	-	21.9万円/21.9万円/-/-	1LDK	54.71m
169	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			4階	21.9万円	-	21.9万円/21.9万円/-/-	1LDK	51.39m
170	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			7階	21.9万円	-	21.9万円/21.9万円/-/-	1LDK	45.97m
171	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			5階	22.1万円	-	22.1万円/22.1万円/-/-	1LDK	51.39m
172	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			8階	22.1万円	-	22.1万円/22.1万円/-/-	1LDK	45.97m
173	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			3階	22.3万円	-	22.3万円/22.3万円/-/-	1LDK	55.74m
174	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			6階	22.3万円	-	22.3万円/22.3万円/-/-	1LDK	51.39m
175	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			9階	22.3万円	-	22.3万円/22.3万円/-/-	1LDK	45.97m
176	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			4階	22.5万円	-	22.5万円/22.5万円/-/-	1LDK	55.74m
177	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			3階	22.5万円	-	22.5万円/22.5万円/-/-	1LDK	55.74m
178	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			7階	22.5万円	-	22.5万円/22.5万円/-/-	1LDK	51.39m
179	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			10階	22.5万円	-	22.5万円/22.5万円/-/-	1LDK	45.97m
180	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			5階	22.7万円	-	22.7万円/22.7万円/-/-	1LDK	55.74m
181	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			8階	22.7万円	-	22.7万円/22.7万円/-/-	1LDK	51.39m
182	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			6階	22.9万円	-	22.9万円/22.9万円/-/-	1LDK	55.74m
183	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			9階	22.9万円	-	22.9万円/22.9万円/-/-	1LDK	51.39m
184	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			11階	22.9万円	-	22.9万円/22.9万円/-/-	1LDK	47.99m
185	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			11階	23万円	-	23万円/23万円/-/-	1LDK	45.57m
186	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			7階	23.1万円	-	23.1万円/23.1万円/-/-	1LDK	55.74m
187	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			10階	23.1万円	-	23.1万円/23.1万円/-/-	1LDK	51.39m
188	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			12階	23.2万円	-	23.2万円/23.2万円/-/-	1LDK	48.74m
189	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			5階	23.3万円	-	23.3万円/23.3万円/-/-	2LDK	57.13m
190	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			8階	23.3万円	-	23.3万円/23.3万円/-/-	1LDK	55.74m
191	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			6階	23.5万円	-	23.5万円/23.5万円/-/-	2LDK	57.13m
192	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			9階	23.5万円	-	23.5万円/23.5万円/-/-	1LDK	55.74m
193	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			12階	23.6万円	-	23.6万円/23.6万円/-/-	2LDK	55.44m
194	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			7階	23.7万円	-	23.7万円/23.7万円/-/-	2LDK	57.13m
195	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			10階	23.7万円	-	23.7万円/23.7万円/-/-	1LDK	55.74m
196	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			8階	23.9万円	-	23.9万円/23.9万円/-/-	2LDK	57.13m
197	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			11階	23.9万円	-	23.9万円/23.9万円/-/-	1LDK	55.74m
198	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			9階	24.1万円	-	24.1万円/24.1万円/-/-	2LDK	57.13m
199	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			12階	24.1万円	-	24.1万円/24.1万円/-/-	1LDK	55.74m
200	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			10階	24.3万円	-	24.3万円/24.3万円/-/-	2LDK	57.13m
201	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			11階	24.4万円	-	24.4万円/24.4万円/-/-	2LDK	57.19m
202	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			12階	24.6万円	-	24.6万円/24.6万円/-/-	2LDK	57.19m
203	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			4階	26.3万円	-	26.3万円/26.3万円/-/-	2LDK	64.38m
204	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			5階	26.5万円	-	26.5万円/26.5万円/-/-	2LDK	64.38m
205	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			6階	26.7万円	-	26.7万円/26.7万円/-/-	2LDK	64.38m
206	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			7階	26.9万円	-	26.9万円/26.9万円/-/-	2LDK	64.38m
207	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			13階	26.9万円	-	26.9万円/26.9万円/-/-	2LDK	55.44m
208	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			8階	27.1万円	-	27.1万円/27.1万円/-/-	2LDK	64.38m
209	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			9階	27.3万円	-	27.3万円/27.3万円/-/-	2LDK	64.38m
210	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			10階	27.5万円	-	27.5万円/27.5万円/-/-	2SLDK	64.38m
211	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			11階	27.6万円	-	27.6万円/27.6万円/-/-	2LDK	63.98m
212	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			12階	27.8万円	-	27.8万円/27.8万円/-/-	2LDK	63.98m
213	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			12階	27.9万円	-	27.9万円/27.9万円/-/-	2LDK	70.12m
214	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			13階	31.2万円	-	31.2万円/31.2万円/-/-	2LDK	70.12m
215	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			3階	33.2万円	-	33.2万円/33.2万円/-/-	3LDK	82.4m
216	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			13階	33.2万円	-	33.2万円/33.2万円/-/-	2LDK	70.12m
217	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			13階	35.4万円	-	35.4万円/35.4万円/-/-	2SLDK	85.12m
218	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			13階	35.4万円	-	35.4万円/35.4万円/-/-	3LDK	84.66m
219	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			13階	35.6万円	-	35.6万円/35.6万円/-/-	3LDK	87.5m
220	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			13階	35.9万円	-	35.9万円/35.9万円/-/-	3LDK	89.77m
221	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			13階	37.4万円	-	37.4万円/37.4万円/-/-	2LDK	85.12m
222	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			13階	37.4万円	-	37.4万円/37.4万円/-/-	3LDK	84.66m
223	新築 ロイジェント東神田	東京都千代田区東神田１	ＪＲ山手線/秋葉原駅 歩9分	都営新宿線/岩本町駅 歩8分	東京メトロ日比谷線/小伝馬町駅 歩7分			13階	37.9万円	-	37.9万円/37.9万円/-/-	3LDK	89.77m
224	富士見デュープレックス ビズ	東京都千代田区富士見１	東京メトロ東西線/飯田橋駅 歩6分	都営三田線/水道橋駅 歩15分	都営大江戸線/牛込神楽坂駅 歩14分			6階	24.5万円	15000円	24.5万円/-/-/-	1LDK	51.64m
225	レジディア神田	東京都千代田区神田多町２	ＪＲ山手線/秋葉原駅 歩4分	ＪＲ山手線/神田駅 歩3分	都営新宿線/岩本町駅 歩2分			1階	9万円	5000円	18万円/-/-/-	ワンルーム	22.05m
226	レジディア神田	東京都千代田区神田多町２	ＪＲ山手線/秋葉原駅 歩4分	ＪＲ山手線/神田駅 歩3分	都営新宿線/岩本町駅 歩2分			1階	9万円	5000円	18万円/9万円/-/-	ワンルーム	22.05m
227	レジディア神田	東京都千代田区神田多町２	ＪＲ山手線/秋葉原駅 歩4分	ＪＲ山手線/神田駅 歩3分	都営新宿線/岩本町駅 歩2分			1階	9万円	5000円	9万円/9万円/-/-	ワンルーム	22.05m
228	レジディア神田	東京都千代田区神田多町２	ＪＲ山手線/秋葉原駅 歩4分	ＪＲ山手線/神田駅 歩3分	都営新宿線/岩本町駅 歩2分			9階	14.5万円	10000円	29万円/14.5万円/-/-	1LDK	30.2m
229	レジディア神田	東京都千代田区神田多町２	ＪＲ山手線/秋葉原駅 歩4分	ＪＲ山手線/神田駅 歩3分	都営新宿線/岩本町駅 歩2分			4階	14.6万円	10000円	14.6万円/14.6万円/-/-	1LDK	32.88m
230	レジディア神田	東京都千代田区神田多町２	ＪＲ山手線/秋葉原駅 歩4分	ＪＲ山手線/神田駅 歩3分	都営新宿線/岩本町駅 歩2分			4階	14.6万円	10000円	14.6万円/14.6万円/-/-	1LDK	32.88m
231	レジディア神田	東京都千代田区神田多町２	ＪＲ山手線/秋葉原駅 歩4分	ＪＲ山手線/神田駅 歩3分	都営新宿線/岩本町駅 歩2分			5階	14.7万円	10000円	29.4万円/14.7万円/-/-	1LDK	32.88m
232	レジディア神田	東京都千代田区神田多町２	ＪＲ山手線/秋葉原駅 歩4分	ＪＲ山手線/神田駅 歩3分	都営新宿線/岩本町駅 歩2分			6階	14.8万円	10000円	14.8万円/14.8万円/-/-	1LDK	32.88m
233	レジディア神田	東京都千代田区神田多町２	ＪＲ山手線/秋葉原駅 歩4分	ＪＲ山手線/神田駅 歩3分	都営新宿線/岩本町駅 歩2分			9階	15.4万円	10000円	15.4万円/15.4万円/-/-	1LDK	32.88m
234	レジディア神田	東京都千代田区神田多町２	ＪＲ山手線/秋葉原駅 歩4分	ＪＲ山手線/神田駅 歩3分	都営新宿線/岩本町駅 歩2分			12-13階	18万円	10000円	18万円/18万円/-/-	1LDK	49.31m
235	セントラルプラザ	東京都千代田区飯田橋４	東京メトロ東西線/飯田橋駅 歩1分	都営大江戸線/牛込神楽坂駅 歩8分	東京メトロ東西線/神楽坂駅 歩11分			12階	20万円	-	20万円/20万円/-/-	3DK	61.42m
236	セントラルプラザ	東京都千代田区飯田橋４	東京メトロ東西線/飯田橋駅 歩1分	都営大江戸線/牛込神楽坂駅 歩8分	東京メトロ東西線/神楽坂駅 歩11分			10階	20.5万円	-	20.5万円/20.5万円/-/-	3DK	61.42m
237	ＪＲ中央線 飯田橋駅 16階建 築35年	東京都千代田区飯田橋４	ＪＲ中央線/飯田橋駅 歩1分	都営大江戸線/牛込神楽坂駅 歩10分	東京メトロ南北線/後楽園駅 歩11分			12階	20万円	-	20万円/20万円/-/-	3DK	61.42m
238	ＪＲ中央線 飯田橋駅 16階建 築35年	東京都千代田区飯田橋４	ＪＲ中央線/飯田橋駅 歩1分	都営大江戸線/牛込神楽坂駅 歩10分	東京メトロ南北線/後楽園駅 歩11分			10階	20.5万円	-	20.5万円/20.5万円/-/-	3DK	61.42m
239	グリーンパーク千代田淡路町	東京都千代田区神田多町２	東京メトロ丸ノ内線/淡路町駅 歩3分	ＪＲ山手線/神田駅 歩5分	都営新宿線/小川町駅 歩4分			7階	15.9万円	10000円	15.9万円/31.8万円/-/-	1LDK	40.01m
240	グリーンパーク千代田淡路町	東京都千代田区神田多町２	東京メトロ丸ノ内線/淡路町駅 歩3分	ＪＲ山手線/神田駅 歩5分	都営新宿線/小川町駅 歩4分			7階	15.9万円	10000円	15.9万円/31.8万円/-/-	1LDK	40.01m
241	ライオンズ千代田三崎町	東京都千代田区神田三崎町３	ＪＲ総武線/水道橋駅 歩3分	ＪＲ総武線/飯田橋駅 歩8分	東京メトロ東西線/九段下駅 歩8分			14階	16万円	12000円	16万円/-/-/16万円	1LDK	38.96m
